scores,average_scores,std
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.4714045207910317
-2.0,-0.25,1.0897247358851685
-1.0,-0.4,1.019803902718557
0.0,-0.3333333333333333,0.9428090415820634
0.0,-0.2857142857142857,0.880630571852711
-1.0,-0.375,0.8569568250501305
0.0,-0.3333333333333333,0.816496580927726
-1.0,-0.4,0.8
-1.0,-0.45454545454545453,0.7820295697311479
0.0,-0.4166666666666667,0.7592027982620249
0.0,-0.38461538461538464,0.737820234355803
-2.0,-0.5,0.823754471047914
0.0,-0.4666666666666667,0.8055363982396382
1.0,-0.375,0.8569568250501305
-1.0,-0.4117647058823529,0.8442764761416073
0.0,-0.3888888888888889,0.8258927081843614
0.0,-0.3684210526315789,0.8085416576703798
-2.0,-0.45,0.8645808232895292
-1.0,-0.47619047619047616,0.8518354199999199
0.0,-0.45454545454545453,0.8381404052084444
1.0,-0.391304347826087,0.871736419815801
0.0,-0.375,0.8569568250501305
0.0,-0.36,0.8428523002282191
0.0,-0.34615384615384615,0.8293791789556857
0.0,-0.3333333333333333,0.8164965809277261
0.0,-0.32142857142857145,0.8041664463712647
1.0,-0.27586206896551724,0.8261481759110991
0.0,-0.26666666666666666,0.8137703743822469
-2.0,-0.3225806451612903,0.8571180810055756
0.0,-0.3125,0.8454843286542927
-2.0,-0.36363636363636365,0.8813963377120598
0.0,-0.35294117647058826,0.8705087404087496
0.0,-0.34285714285714286,0.8599952539024235
0.0,-0.3333333333333333,0.8498365855987975
0.0,-0.32432432432432434,0.8400146090767596
-2.0,-0.3684210526315789,0.871207650381413
0.0,-0.358974358974359,0.8619351955882877
1.0,-0.325,0.8771402396424416
-1.0,-0.34146341463414637,0.8726118936584545
1.0,-0.30952380952380953,0.886085431710876
2.0,-0.2558139534883721,0.942362771597898
7.0,-0.09090909090909091,1.427301678918871
3.0,-0.022222222222222223,1.4830732189745408
0.0,-0.021739130434782608,1.4668678615510728
1.0,0.0,1.4586499149789456
0.0,0.0,1.4433756729740645
0.0,0.0,1.4285714285714286
-1.0,-0.02,1.4211263138792412
2.0,0.0196078431372549,1.4347261278373895
1.0,0.038461538461538464,1.4272288704061133
1.0,0.05660377358490566,1.4197407993518574
2.0,0.09259259259259259,1.430727845312496
2.0,0.12727272727272726,1.4403856232973353
1.0,0.14285714285714285,1.4321384039831015
1.0,0.15789473684210525,1.4239736061545982
-1.0,0.13793103448275862,1.4196681965682
0.0,0.13559322033898305,1.4076982910404148
0.0,0.13333333333333333,1.3960261060914616
2.0,0.16393442622950818,1.4046798581516011
1.0,0.1774193548387097,1.3972806948750676
2.0,0.20634920634920634,1.4047394850690533
4.0,0.265625,1.4709923043221538
-2.0,0.23076923076923078,1.4860296173591694
2.0,0.25757575757575757,1.4904809683414486
1.0,0.26865671641791045,1.4820527268425563
-1.0,0.25,1.479019945774904
0.0,0.2463768115942029,1.4685672511180758
0.0,0.24285714285714285,1.4583328474246031
-1.0,0.22535211267605634,1.455414205585297
2.0,0.25,1.4601179556612693
-2.0,0.2191780821917808,1.4734785544684774
3.0,0.25675675675675674,1.4982946234537993
3.0,0.29333333333333333,1.5211691410081774
3.0,0.32894736842105265,1.5422826375447602
3.0,0.36363636363636365,1.5617929332884988
3.0,0.3974358974358974,1.5798388719345642
2.0,0.4177215189873418,1.5799983571270808
2.0,0.4375,1.5799030824705673
5.0,0.49382716049382713,1.648968677240889
2.0,0.5121951219512195,1.6471994151124922
3.0,0.5421686746987951,1.6595920882131519
6.0,0.6071428571428571,1.7526704600399354
1.0,0.611764705882353,1.7428449875186924
1.0,0.6162790697674418,1.7331823442440022
1.0,0.6206896551724138,1.7236780996005052
1.0,0.625,1.7143279891973573
0.0,0.6179775280898876,1.7059421462161564
2.0,0.6333333333333333,1.7026123718829513
1.0,0.6373626373626373,1.693662936720119
-3.0,0.5978260869565217,1.7261403452481447
4.0,0.6344086021505376,1.7523253137152626
3.0,0.6595744680851063,1.7597944239789118
1.0,0.6631578947368421,1.75085258218473
3.0,0.6875,1.757795138803154
4.0,0.7216494845360825,1.780433562633928
2.0,0.7346938775510204,1.7759792952930096
0.0,0.7272727272727273,1.7685135104745298
1.0,0.73,1.7598579488129147
-1.0,0.72,1.7668050260286219
5.0,0.77,1.815791838289841
4.0,0.8,1.8439088914585775
5.0,0.87,1.8689836810416511
-2.0,0.86,1.881595068020747
6.0,0.92,1.9477166118303761
2.0,0.94,1.9484352696458767
0.0,0.95,1.941004894378167
1.0,0.96,1.9386593305684214
2.0,0.99,1.9312949023906214
4.0,1.04,1.9438106903708499
8.0,1.12,2.0604853797103244
2.0,1.14,2.059223154492975
3.0,1.19,2.0430124816065125
2.0,1.21,2.041053649466373
2.0,1.22,2.0424495097798623
2.0,1.25,2.0316249653910043
2.0,1.27,2.0290638235403042
5.0,1.32,2.05854317418897
4.0,1.38,2.0483163818121457
2.0,1.41,2.035165840908303
4.0,1.45,2.0463381929681126
4.0,1.48,2.06145579627602
6.0,1.54,2.1043763921884318
2.0,1.56,2.099142682144308
3.0,1.59,2.0980705421887036
5.0,1.64,2.119056393775305
5.0,1.69,2.138667809642255
2.0,1.7,2.1377558326431947
6.0,1.76,2.173108372815309
2.0,1.8,2.14009345590327
7.0,1.87,2.193877845277626
9.0,1.98,2.2714752915231102
4.0,2.02,2.2714752915231107
3.0,2.05,2.2643983748448506
7.0,2.12,2.3077261535979523
6.0,2.18,2.3297210133404387
2.0,2.22,2.2916369695045504
10.0,2.32,2.407820591323199
6.0,2.37,2.431686657445815
6.0,2.44,2.43441984875247
0.0,2.43,2.4423554204906375
3.0,2.44,2.442621542523524
2.0,2.39,2.3995624601164276
6.0,2.42,2.425613324501661
4.0,2.46,2.418346542578214
4.0,2.49,2.4186566519454553
9.0,2.58,2.4907027120874945
6.0,2.64,2.5000799987200404
1.0,2.66,2.4787900274125683
3.0,2.67,2.478124290668246
0.0,2.66,2.4868453912537465
9.0,2.74,2.5597656142701815
5.0,2.77,2.56848204198511
5.0,2.8,2.5768197453450252
6.0,2.85,2.5898841672939734
7.0,2.91,2.615702582481426
3.0,2.95,2.5860201081971503
9.0,3.04,2.637877935007608
6.0,3.1,2.6362852652928135
9.0,3.17,2.6983513485089374
5.0,3.21,2.6955333424018333
2.0,3.21,2.6955333424018333
3.0,3.2,2.694438717061496
4.0,3.26,2.644314656012026
3.0,3.27,2.6414200726124575
5.0,3.31,2.6370248387150244
4.0,3.36,2.601999231360378
5.0,3.41,2.584937136566381
4.0,3.45,2.5627134057479
5.0,3.51,2.5278251521812183
2.0,3.51,2.5278251521812183
7.0,3.6,2.4899799195977463
6.0,3.63,2.5006199231390602
9.0,3.69,2.5561494479001023
7.0,3.73,2.576256974760088
5.0,3.75,2.5782746168707473
8.0,3.8,2.6115129714401193
6.0,3.84,2.614268540146555
5.0,3.87,2.610191563851205
4.0,3.86,2.6077576574520878
7.0,3.91,2.6195228573158125
5.0,3.93,2.6201335843807656
3.0,3.9,2.613426869074396
12.0,4.01,2.7184370509540954
7.0,4.07,2.7175540473006237
8.0,4.14,2.7277096619691767
10.0,4.23,2.7707580190265624
6.0,4.29,2.7433373835531056
8.0,4.35,2.75816968296006
7.0,4.41,2.7498909069270367
2.0,4.46,2.6586462720715596
7.0,4.49,2.6701872593509246
7.0,4.53,2.6775175069455663
11.0,4.63,2.73003662979089
6.0,4.66,2.7284427793157033
13.0,4.75,2.8508770580296865
8.0,4.81,2.855503458236393
4.0,4.85,2.815581645060217
12.0,4.96,2.877220881336711
1.0,4.98,2.8424637200850955
7.0,5.0,2.8495613697550013
8.0,5.04,2.8632848269077247
5.0,5.04,2.8632848269077247
13.0,5.19,2.883383429237256
11.0,5.24,2.9397959112836385
1.0,5.23,2.9524735392548402
11.0,5.34,2.960472935191268
5.0,5.38,2.928412539243745
7.0,5.43,2.912919497686127
8.0,5.47,2.9204622921722514
