scores,average_scores
1.0,0.8297872340425532
2.0,0.8421052631578947
0.0,0.8333333333333334
4.0,0.865979381443299
1.0,0.8673469387755102
5.0,0.9090909090909091
1.0,0.91
5.0,0.96
2.0,0.98
2.0,0.99
6.0,1.07
6.0,1.14
4.0,1.18
5.0,1.23
6.0,1.3
4.0,1.34
2.0,1.37
0.0,1.38
4.0,1.42
6.0,1.48
6.0,1.56
6.0,1.62
3.0,1.64
8.0,1.73
5.0,1.78
5.0,1.83
5.0,1.9
-1.0,1.9
2.0,1.92
6.0,1.97
6.0,2.03
9.0,2.12
1.0,2.13
2.0,2.15
13.0,2.28
3.0,2.3
5.0,2.35
7.0,2.44
9.0,2.53
2.0,2.57
7.0,2.65
4.0,2.71
8.0,2.79
0.0,2.8
4.0,2.84
3.0,2.88
4.0,2.92
5.0,2.97
8.0,3.03
3.0,3.02
6.0,3.06
1.0,3.11
4.0,3.13
6.0,3.19
1.0,3.2
10.0,3.28
6.0,3.34
6.0,3.38
9.0,3.46
3.0,3.47
4.0,3.5
12.0,3.61
5.0,3.67
8.0,3.76
6.0,3.8
0.0,3.8
8.0,3.86
4.0,3.87
5.0,3.9
9.0,3.99
9.0,4.05
8.0,4.14
5.0,4.18
7.0,4.23
13.0,4.35
6.0,4.39
7.0,4.43
10.0,4.5
8.0,4.55
12.0,4.65
1.0,4.67
9.0,4.77
3.0,4.79
9.0,4.87
2.0,4.88
5.0,4.92
10.0,4.99
11.0,5.07
13.0,5.14
9.0,5.19
7.0,5.27
10.0,5.31
8.0,5.39
4.0,5.37
7.0,5.41
2.0,5.37
6.0,5.39
8.0,5.44
8.0,5.49
13.0,5.57
8.0,5.64
4.0,5.66
14.0,5.8
7.0,5.83
12.0,5.94
13.0,6.02
10.0,6.11
13.0,6.19
6.0,6.23
13.0,6.34
8.0,6.36
12.0,6.42
9.0,6.47
13.0,6.55
4.0,6.53
9.0,6.58
9.0,6.65
6.0,6.71
1.0,6.68
5.0,6.67
7.0,6.68
5.0,6.67
8.0,6.72
8.0,6.72
9.0,6.76
6.0,6.77
5.0,6.77
11.0,6.89
9.0,6.96
6.0,6.96
7.0,6.97
11.0,6.99
6.0,7.04
3.0,7.05
9.0,7.01
10.0,7.08
13.0,7.16
2.0,7.11
2.0,7.04
11.0,7.13
7.0,7.13
12.0,7.21
4.0,7.17
6.0,7.23
9.0,7.28
7.0,7.32
10.0,7.38
16.0,7.49
6.0,7.47
13.0,7.57
7.0,7.58
13.0,7.7
13.0,7.79
13.0,7.86
5.0,7.9
10.0,7.9
3.0,7.87
11.0,7.92
10.0,7.93
10.0,8.0
14.0,8.1
8.0,8.06
2.0,8.03
7.0,8.02
6.0,8.02
9.0,8.11
13.0,8.16
13.0,8.25
5.0,8.25
8.0,8.24
12.0,8.27
15.0,8.34
14.0,8.43
7.0,8.43
11.0,8.41
13.0,8.48
8.0,8.49
8.0,8.47
16.0,8.55
10.0,8.53
16.0,8.68
9.0,8.68
10.0,8.75
15.0,8.81
11.0,8.9
12.0,8.97
10.0,8.97
11.0,8.97
6.0,8.9
4.0,8.85
7.0,8.85
5.0,8.8
10.0,8.82
12.0,8.9
9.0,8.92
1.0,8.91
11.0,8.96
6.0,8.94
15.0,9.01
9.0,8.97
10.0,8.99
8.0,9.03
5.0,8.94
12.0,8.99
5.0,8.92
12.0,8.91
11.0,8.92
16.0,8.95
14.0,9.03
16.0,9.06
6.0,9.04
3.0,8.95
8.0,8.94
11.0,8.92
12.0,9.0
6.0,8.97
12.0,9.0
5.0,8.99
6.0,9.04
14.0,9.13
14.0,9.2
16.0,9.31
13.0,9.36
8.0,9.36
14.0,9.41
12.0,9.47
10.0,9.52
14.0,9.55
3.0,9.49
11.0,9.54
11.0,9.58
18.0,9.65
19.0,9.78
15.0,9.9
12.0,9.93
14.0,9.97
13.0,9.97
15.0,10.1
14.0,10.22
14.0,10.25
12.0,10.3
7.0,10.25
8.0,10.29
10.0,10.33
17.0,10.41
20.0,10.54
16.0,10.6
7.0,10.51
9.0,10.54
13.0,10.54
12.0,10.59
12.0,10.58
11.0,10.56
10.0,10.53
13.0,10.61
10.0,10.61
14.0,10.72
13.0,10.74
9.0,10.73
15.0,10.78
11.0,10.75
16.0,10.83
13.0,10.94
16.0,11.03
15.0,11.12
12.0,11.15
11.0,11.13
16.0,11.16
18.0,11.29
7.0,11.28
13.0,11.29
18.0,11.32
15.0,11.33
15.0,11.41
12.0,11.42
17.0,11.46
