scores,average_scores,std
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.4714045207910317
-2.0,-0.25,1.0897247358851685
-1.0,-0.4,1.019803902718557
0.0,-0.3333333333333333,0.9428090415820634
0.0,-0.2857142857142857,0.880630571852711
-1.0,-0.375,0.8569568250501305
0.0,-0.3333333333333333,0.816496580927726
-1.0,-0.4,0.8
-1.0,-0.45454545454545453,0.7820295697311479
0.0,-0.4166666666666667,0.7592027982620249
0.0,-0.38461538461538464,0.737820234355803
-2.0,-0.5,0.823754471047914
0.0,-0.4666666666666667,0.8055363982396382
1.0,-0.375,0.8569568250501305
-1.0,-0.4117647058823529,0.8442764761416073
0.0,-0.3888888888888889,0.8258927081843614
0.0,-0.3684210526315789,0.8085416576703798
-2.0,-0.45,0.8645808232895292
-1.0,-0.47619047619047616,0.8518354199999199
0.0,-0.45454545454545453,0.8381404052084444
1.0,-0.391304347826087,0.871736419815801
0.0,-0.375,0.8569568250501305
0.0,-0.36,0.8428523002282191
0.0,-0.34615384615384615,0.8293791789556857
0.0,-0.3333333333333333,0.8164965809277261
0.0,-0.32142857142857145,0.8041664463712647
1.0,-0.27586206896551724,0.8261481759110991
0.0,-0.26666666666666666,0.8137703743822469
-2.0,-0.3225806451612903,0.8571180810055756
0.0,-0.3125,0.8454843286542927
-2.0,-0.36363636363636365,0.8813963377120598
1.0,-0.3235294117647059,0.8983837852530155
-2.0,-0.37142857142857144,0.9284615319583954
1.0,-0.3333333333333333,0.9428090415820635
3.0,-0.24324324324324326,1.075662094169319
-2.0,-0.2894736842105263,1.0980340023697404
2.0,-0.23076923076923078,1.1426810233413944
2.0,-0.175,1.1808365678619543
0.0,-0.17073170731707318,1.1666595846928194
1.0,-0.14285714285714285,1.1664236870396087
0.0,-0.13953488372093023,1.1529818843014454
3.0,-0.06818181818181818,1.232103288039073
2.0,-0.022222222222222223,1.2558996578617594
1.0,0.0,1.2510864843424485
1.0,0.02127659574468085,1.2460894012209638
2.0,0.0625,1.265013998605022
0.0,0.061224489795918366,1.252070338790038
1.0,0.08,1.2464349160706305
-2.0,0.0392156862745098,1.2674009891131226
-1.0,0.019230769230769232,1.2632434538396147
1.0,0.03773584905660377,1.2583646792855143
1.0,0.05555555555555555,1.2533904636309419
-1.0,0.03636363636363636,1.2499256176216154
0.0,0.03571428571428571,1.2387246568589017
-2.0,0.0,1.2565617248750864
-1.0,-0.017241379310344827,1.2524648705975174
1.0,0.0,1.2487281665351773
1.0,0.016666666666666666,1.244878396560171
2.0,0.04918032786885246,1.2600576295459434
0.0,0.04838709677419355,1.2498699203909274
0.0,0.047619047619047616,1.2399253872658609
2.0,0.078125,1.2538028092068545
4.0,0.13846153846153847,1.3344768272123964
0.0,0.13636363636363635,1.3244365713030422
1.0,0.14925373134328357,1.3186801558872618
4.0,0.20588235294117646,1.388596662836809
2.0,0.2318840579710145,1.395073397230015
-2.0,0.2,1.4101671633432076
3.0,0.23943661971830985,1.4385515870201357
0.0,0.2361111111111111,1.4288015136582475
1.0,0.2465753424657534,1.4217567940086708
0.0,0.24324324324324326,1.412404608697721
2.0,0.26666666666666666,1.4173527750312866
3.0,0.3026315789473684,1.4420356302819881
5.0,0.36363636363636365,1.528169186501871
4.0,0.41025641025641024,1.57248698527815
2.0,0.43037974683544306,1.5725778586814472
2.0,0.45,1.572418519351639
1.0,0.4567901234567901,1.5638618131940722
3.0,0.4878048780487805,1.5791623469501117
6.0,0.5542168674698795,1.6808848218405097
1.0,0.5595238095238095,1.6715489713791878
1.0,0.5647058823529412,1.6623658465008408
2.0,0.5813953488372093,1.659820081865626
2.0,0.5977011494252874,1.6571667423158598
2.0,0.6136363636363636,1.6544143304684906
2.0,0.6292134831460674,1.6515707366762016
2.0,0.6444444444444445,1.6486432880881252
2.0,0.6593406593406593,1.6456387932342162
4.0,0.6956521739130435,1.6729246093539991
3.0,0.7204301075268817,1.6807934083861056
6.0,0.776595744680851,1.7573811228773693
2.0,0.7894736842105263,1.7525604537488346
2.0,0.8020833333333334,1.7477353898847374
4.0,0.8350515463917526,1.768454461644399
8.0,0.9081632653061225,1.901056283688782
3.0,0.9292929292929293,1.902961674972634
4.0,0.96,1.9179155351578965
4.0,1.0,1.9390719429665315
9.0,1.09,2.0932988319874446
1.0,1.09,2.0932988319874446
4.0,1.15,2.0898564544006364
6.0,1.22,2.133447913589643
1.0,1.23,2.1300469478394133
-2.0,1.21,2.150790552331863
3.0,1.25,2.146508793366568
5.0,1.3,2.1748563170931545
3.0,1.34,2.168962885805103
5.0,1.4,2.1863211109075444
5.0,1.45,2.2107690969434146
5.0,1.5,2.233830790368868
2.0,1.54,2.2064451046876288
5.0,1.59,2.2275322668818966
5.0,1.63,2.2523543238131962
4.0,1.68,2.2489108474992956
8.0,1.76,2.3286047324524612
5.0,1.81,2.343906994741899
2.0,1.85,2.312466215969436
4.0,1.9,2.3043437243605824
0.0,1.9,2.304343724360582
6.0,1.95,2.3382685902179845
3.0,1.98,2.332295007069217
7.0,2.05,2.376446927663229
5.0,2.1,2.3853720883753122
7.0,2.17,2.4250979361667024
1.0,2.18,2.418181134654722
7.0,2.24,2.462194143441983
8.0,2.32,2.5174590364095297
1.0,2.35,2.4834451876375283
6.0,2.41,2.498379474779602
4.0,2.47,2.463554342814463
5.0,2.51,2.4718211909440373
7.0,2.6,2.469817807045694
7.0,2.66,2.5028783430282826
6.0,2.69,2.5246583927335595
5.0,2.76,2.490461804565571
10.0,2.84,2.591215930793881
7.0,2.89,2.6225750704221986
4.0,2.93,2.608658659157997
11.0,3.03,2.7219662011127177
2.0,3.05,2.7069355367278325
0.0,3.02,2.72389427107588
10.0,3.1,2.8089143810376282
11.0,3.2,2.9086079144497976
0.0,3.19,2.9178588039862383
4.0,3.21,2.9164876135516162
6.0,3.27,2.911545981089772
3.0,3.29,2.9027400848164135
7.0,3.38,2.876734259538062
4.0,3.43,2.843431026066924
6.0,3.48,2.8442222135409887
9.0,3.56,2.8855502074994295
5.0,3.62,2.852297319705644
1.0,3.63,2.8413201157208596
6.0,3.71,2.7939040785252454
6.0,3.78,2.7625350676507257
11.0,3.88,2.84
9.0,3.96,2.870261312145638
3.0,3.97,2.865152700991694
8.0,4.05,2.8648734701553575
7.0,4.12,2.8505438077672123
13.0,4.23,2.976088036332259
12.0,4.31,3.0747194994015308
10.0,4.41,3.0954644239596747
3.0,4.43,3.079788953808361
5.0,4.44,3.0799999999999996
7.0,4.49,3.080568129420286
10.0,4.61,3.0590684856668378
4.0,4.62,3.0554214111968254
10.0,4.72,3.0662028634778884
6.0,4.77,3.0458332193342432
8.0,4.85,3.024483426967323
7.0,4.9,3.018277654557314
5.0,4.92,3.0122416901702955
5.0,4.92,3.0122416901702955
5.0,4.93,3.0108304502246552
9.0,5.0,3.023243291566195
9.0,5.07,3.033990771245028
8.0,5.14,3.02
4.0,5.15,3.014548058996572
7.0,5.16,3.0190064590855052
6.0,5.21,2.9909697424079704
6.0,5.26,2.961823762481488
10.0,5.34,2.980671065381083
0.0,5.32,3.0095846889562687
1.0,5.31,3.022234272851792
13.0,5.42,3.098967570014246
3.0,5.43,3.089514524969902
1.0,5.42,3.1021927728624474
13.0,5.51,3.1890280651007132
9.0,5.57,3.1976710274823454
2.0,5.53,3.2170017096669374
3.0,5.54,3.2075535848992454
4.0,5.56,3.1916140117501675
12.0,5.64,3.251215157444982
8.0,5.64,3.251215157444982
10.0,5.71,3.2689294883799493
7.0,5.74,3.2668639396216066
16.0,5.86,3.4176600181995873
14.0,5.91,3.498842665796792
4.0,5.94,3.469351524420666
3.0,5.93,3.47636304203114
9.0,5.96,3.4897564384925204
8.0,6.03,3.4596387094608594
8.0,6.13,3.369436154611036
8.0,6.18,3.3597023677700975
10.0,6.23,3.3789199457814925
11.0,6.31,3.396159595778738
4.0,6.3,3.4014702703389896
