scores,average_scores
6.0,0.9484536082474226
3.0,0.9693877551020408
1.0,0.9696969696969697
0.0,0.96
1.0,0.97
6.0,1.03
6.0,1.08
2.0,1.12
1.0,1.14
3.0,1.17
6.0,1.23
4.0,1.28
4.0,1.32
4.0,1.37
3.0,1.41
1.0,1.42
3.0,1.45
0.0,1.47
1.0,1.48
2.0,1.49
1.0,1.51
1.0,1.52
7.0,1.59
1.0,1.62
-1.0,1.62
5.0,1.67
5.0,1.71
5.0,1.76
3.0,1.79
7.0,1.86
7.0,1.93
2.0,1.95
1.0,1.95
9.0,2.04
1.0,2.07
5.0,2.12
7.0,2.21
1.0,2.22
7.0,2.29
8.0,2.37
3.0,2.4
2.0,2.44
5.0,2.49
6.0,2.54
-1.0,2.54
8.0,2.61
12.0,2.71
3.0,2.67
5.0,2.69
4.0,2.73
0.0,2.72
4.0,2.76
5.0,2.81
6.0,2.88
9.0,2.96
6.0,3.01
2.0,3.01
14.0,3.15
4.0,3.19
9.0,3.28
6.0,3.31
7.0,3.36
7.0,3.41
7.0,3.47
10.0,3.58
10.0,3.66
8.0,3.72
2.0,3.72
9.0,3.8
10.0,3.87
8.0,3.95
6.0,4.02
9.0,4.1
1.0,4.06
8.0,4.11
6.0,4.16
6.0,4.21
8.0,4.23
6.0,4.3
12.0,4.39
5.0,4.41
1.0,4.42
3.0,4.42
5.0,4.42
3.0,4.44
7.0,4.51
1.0,4.5
9.0,4.57
7.0,4.6
3.0,4.62
9.0,4.71
5.0,4.75
13.0,4.86
2.0,4.85
10.0,4.9
8.0,4.97
4.0,4.98
3.0,4.97
3.0,4.96
2.0,4.94
10.0,4.98
1.0,4.96
8.0,5.03
7.0,5.1
8.0,5.17
2.0,5.13
8.0,5.15
5.0,5.18
7.0,5.24
4.0,5.25
6.0,5.25
6.0,5.27
9.0,5.32
9.0,5.37
9.0,5.43
9.0,5.51
11.0,5.59
9.0,5.68
9.0,5.76
3.0,5.77
8.0,5.84
11.0,5.94
12.0,5.99
12.0,6.1
8.0,6.19
10.0,6.24
7.0,6.26
6.0,6.27
10.0,6.34
7.0,6.34
13.0,6.4
9.0,6.47
0.0,6.46
4.0,6.41
5.0,6.45
8.0,6.48
8.0,6.49
3.0,6.51
6.0,6.5
1.0,6.43
7.0,6.47
12.0,6.57
8.0,6.6
12.0,6.66
9.0,6.76
9.0,6.77
13.0,6.78
10.0,6.85
14.0,6.94
6.0,6.96
3.0,6.99
1.0,6.96
7.0,6.98
5.0,6.97
8.0,6.96
10.0,7.0
8.0,7.06
12.0,7.04
14.0,7.14
4.0,7.09
9.0,7.12
7.0,7.12
13.0,7.18
0.0,7.11
11.0,7.12
5.0,7.07
14.0,7.13
1.0,7.12
13.0,7.16
11.0,7.17
8.0,7.17
10.0,7.21
12.0,7.24
12.0,7.35
8.0,7.35
6.0,7.35
6.0,7.35
9.0,7.36
10.0,7.4
3.0,7.31
10.0,7.36
12.0,7.47
6.0,7.5
3.0,7.48
10.0,7.55
9.0,7.57
10.0,7.66
12.0,7.69
13.0,7.75
2.0,7.74
9.0,7.74
7.0,7.76
11.0,7.74
13.0,7.85
8.0,7.83
13.0,7.88
8.0,7.92
8.0,7.97
7.0,8.01
8.0,8.07
6.0,8.03
5.0,8.07
7.0,8.06
16.0,8.15
16.0,8.23
15.0,8.36
7.0,8.35
14.0,8.44
2.0,8.39
10.0,8.45
13.0,8.52
10.0,8.56
4.0,8.51
2.0,8.44
12.0,8.47
5.0,8.43
10.0,8.42
6.0,8.39
14.0,8.44
16.0,8.57
14.0,8.63
6.0,8.58
15.0,8.61
7.0,8.56
8.0,8.56
4.0,8.5
11.0,8.54
17.0,8.65
16.0,8.71
10.0,8.74
10.0,8.71
11.0,8.73
15.0,8.88
9.0,8.93
9.0,8.97
20.0,9.09
5.0,9.06
8.0,9.11
15.0,9.2
8.0,9.27
16.0,9.36
12.0,9.36
9.0,9.37
14.0,9.39
11.0,9.41
12.0,9.44
13.0,9.44
19.0,9.53
