scores,average_scores
0.0,0.0
0.0,0.0
1.0,0.3333333333333333
-2.0,-0.25
-1.0,-0.4
0.0,-0.3333333333333333
0.0,-0.2857142857142857
-1.0,-0.375
0.0,-0.3333333333333333
-1.0,-0.4
-1.0,-0.45454545454545453
0.0,-0.4166666666666667
0.0,-0.38461538461538464
-2.0,-0.5
0.0,-0.4666666666666667
1.0,-0.375
-1.0,-0.4117647058823529
0.0,-0.3888888888888889
0.0,-0.3684210526315789
-2.0,-0.45
-1.0,-0.47619047619047616
0.0,-0.45454545454545453
1.0,-0.391304347826087
0.0,-0.375
0.0,-0.36
0.0,-0.34615384615384615
0.0,-0.3333333333333333
0.0,-0.32142857142857145
1.0,-0.27586206896551724
0.0,-0.26666666666666666
-2.0,-0.3225806451612903
0.0,-0.3125
-2.0,-0.36363636363636365
0.0,-0.35294117647058826
-1.0,-0.37142857142857144
0.0,-0.3611111111111111
-1.0,-0.3783783783783784
3.0,-0.2894736842105263
0.0,-0.28205128205128205
-1.0,-0.3
-1.0,-0.3170731707317073
2.0,-0.2619047619047619
-1.0,-0.27906976744186046
0.0,-0.2727272727272727
0.0,-0.26666666666666666
1.0,-0.2391304347826087
1.0,-0.2127659574468085
1.0,-0.1875
-1.0,-0.20408163265306123
3.0,-0.14
1.0,-0.11764705882352941
0.0,-0.11538461538461539
1.0,-0.09433962264150944
3.0,-0.037037037037037035
2.0,0.0
1.0,0.017857142857142856
0.0,0.017543859649122806
0.0,0.017241379310344827
1.0,0.03389830508474576
1.0,0.05
-2.0,0.01639344262295082
1.0,0.03225806451612903
3.0,0.07936507936507936
-1.0,0.0625
3.0,0.1076923076923077
2.0,0.13636363636363635
-1.0,0.11940298507462686
1.0,0.1323529411764706
3.0,0.17391304347826086
0.0,0.17142857142857143
4.0,0.22535211267605634
1.0,0.2361111111111111
-1.0,0.2191780821917808
3.0,0.25675675675675674
4.0,0.30666666666666664
1.0,0.3157894736842105
1.0,0.3246753246753247
2.0,0.34615384615384615
3.0,0.379746835443038
1.0,0.3875
2.0,0.4074074074074074
1.0,0.4146341463414634
4.0,0.4578313253012048
1.0,0.4642857142857143
3.0,0.49411764705882355
1.0,0.5
5.0,0.5517241379310345
3.0,0.5795454545454546
2.0,0.5955056179775281
3.0,0.6222222222222222
4.0,0.6593406593406593
4.0,0.6956521739130435
3.0,0.7204301075268817
1.0,0.723404255319149
2.0,0.7368421052631579
