scores,max_score,average_scores,std
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[0.   0.09],0.09000000171363354,0.006428571550973824,0.023178544355025185
[ 0.   -0.01],0.0,0.006000000114242236,0.022449944748098954
[ 0.   -0.01],0.0,0.005625000107102096,0.021785531737221354
[-0.01  0.  ],0.0,0.005294117747860796,0.021176470991443184
[-0.01  0.  ],0.0,0.005000000095201863,0.020615528520615642
[-0.01  0.  ],0.0,0.004736842195454396,0.020096719426898266
[-0.01  0.  ],0.0,0.004500000085681677,0.019615045619410805
[ 0.   -0.01],0.0,0.004285714367315883,0.01916629731493163
[0.   0.09],0.09000000171363354,0.008181818337603048,0.025873181348558108
[ 0.   -0.01],0.0,0.007826087105533352,0.02535942060705748
[ 0.   -0.01],0.0,0.0075000001428027945,0.024874686401288787
[-0.01  0.  ],0.0,0.007200000137090683,0.024416388404148087
[ 0.   -0.01],0.0,0.006923077054894888,0.02398224240758451
[ 0.   -0.01],0.0,0.006666666793602484,0.023570226488337474
[ 0.   -0.01],0.0,0.006428571550973824,0.02317854435502518
[ 0.   -0.01],0.0,0.006206896669905761,0.02280559459117384
[ 0.   -0.01],0.0,0.006000000114242236,0.02244994474809895
[-0.01  0.  ],0.0,0.005806451723460228,0.02211030943801277
[ 0.   -0.01],0.0,0.005625000107102096,0.021785531737221354
[ 0.   -0.01],0.0,0.005454545558402033,0.021474567338006876
[-0.01  0.  ],0.0,0.005294117747860796,0.021176470991443184
[-0.01  0.  ],0.0,0.00514285724077906,0.020890384866824603
[ 0.   -0.01],0.0,0.005000000095201863,0.020615528520615642
[ 0.   -0.01],0.0,0.004864864957493705,0.020351190222106887
[ 0.1  -0.01],0.10000000149011612,0.0073684211820364,0.02520277916365144
[ 0.   -0.01],0.0,0.007179487305573928,0.02490481594559076
[0.   0.09],0.09000000171363354,0.009250000165775419,0.027783763739237858
[-0.01  0.  ],0.0,0.009024390405634554,0.027479915820449972
[-0.01  0.  ],0.0,0.00880952396740516,0.027185639283684376
[ 0.   -0.01],0.0,0.008604651317000389,0.026900453950971098
[ 0.   -0.01],0.0,0.008409091059795835,0.026623911619026396
[ 0.   -0.01],0.0,0.008222222369578149,0.026355593499554734
[-0.01  0.  ],0.0,0.008043478405022102,0.02609510788742442
[-0.01  0.  ],0.0,0.007872340566617377,0.02584208803628722
[ 0.   -0.01],0.0,0.0077083334714795155,0.02559619022262877
[ 0.   -0.01],0.0,0.007551020543490138,0.025357091980722828
[-0.01  0.  ],0.0,0.007400000132620334,0.025124490492444335
[0.1  0.09],0.10000000149011612,0.009215686433747703,0.027994617417760354
[ 0.   -0.01],0.0,0.00903846169463717,0.027753005537698265
[ 0.   -0.01],0.0,0.008867924681530808,0.027517430787635185
[ 0.   -0.01],0.0,0.008703703854095053,0.02728765174515414
[ 0.   -0.01],0.0,0.008545454693111507,0.027063439862746532
[ 0.   -0.01],0.0,0.008392857287877373,0.026844578638614582
[-0.01  0.  ],0.0,0.008245614177563735,0.026630862847123047
[ 0.   -0.01],0.0,0.008103448415881601,0.026422097824559728
[ 0.   -0.01],0.0,0.007966101832561573,0.026218098806110327
[ 0.   -0.01],0.0,0.007833333468685548,0.02601869031020804
[ 0.1  -0.01],0.10000000149011612,0.009344262452643425,0.028334585288461497
[ 0.   -0.01],0.0,0.009193548542116918,0.02812979107925114
[ 0.   -0.01],0.0,0.009047619200178556,0.027929292464958583
[ 0.1  -0.01],0.10000000149011612,0.01046875017345883,0.029918101592362783
[-0.01  0.  ],0.0,0.01030769247848254,0.029715017711184944
[ 0.   -0.01],0.0,0.010151515319717653,0.029515914233487903
[ 0.   -0.01],0.0,0.010000000165692016,0.029320667127936902
[ 0.   -0.01],0.0,0.009852941339725958,0.02912915744385823
[-0.01  0.  ],0.0,0.009710145088425581,0.02894127106781064
[-0.01  0.  ],0.0,0.009571428730019501,0.02875689849213478
[-0.01  0.  ],0.0,0.009436619874667113,0.028575934595061792
[-0.01  0.  ],0.0,0.009305555709741183,0.028398278431932395
[-0.01  0.  ],0.0,0.009178082343854317,0.028223833037060754
[ 0.   -0.01],0.0,0.0090540542040725,0.02805250523576982
[-0.01  0.  ],0.0,0.008933333481351535,0.027884205466124197
[ 0.   -0.01],0.0,0.008815789619754804,0.027718847609892096
[-0.01  0.  ],0.0,0.008701298845472273,0.027556348832276995
[ 0.   -0.01],0.0,0.008589743732068783,0.027396629429972202
[-0.01  0.  ],0.0,0.008481012798751457,0.027239612687106136
[-0.01  0.  ],0.0,0.008375000138767064,0.027085224738662213
[ 0.   -0.01],0.0,0.008271605075325495,0.02693339444097414
[-0.01  0.  ],0.0,0.008170731842699574,0.026784053248915335
[ 0.   -0.01],0.0,0.008072289290377893,0.02663713509941862
[ 0.   -0.01],0.0,0.007976190608349584,0.026492576300980324
[-0.01  0.  ],0.0,0.007882353071780765,0.026350315428820163
[ 0.   -0.01],0.0,0.007790697803504245,0.026210293225385616
[ 0.   -0.01],0.0,0.0077011495528892535,0.026072452505905775
[ 0.   -0.01],0.0,0.0076136364897882395,0.02593673806871581
[ 0.   -0.01],0.0,0.007528090012374889,0.025803096610088692
[ 0.   -0.01],0.0,0.007444444567792945,0.02567147664332499
[ 0.   -0.01],0.0,0.007362637484630385,0.02554182842186633
[-0.01  0.  ],0.0,0.007282608816319186,0.025414103866210715
[-0.01  0.  ],0.0,0.007204301194638335,0.02528825649442112
[ 0.   -0.01],0.0,0.007127659692567714,0.025164241356030424
[-0.01  0.  ],0.0,0.007052631695803843,0.025042014969157356
[ 0.   -0.01],0.0,0.006979166782305886,0.024921535260658566
[-0.01  0.  ],0.0,0.006907216609292424,0.02480276150915241
[ 0.   -0.01],0.0,0.006836734807156786,0.024685654290759373
[ 0.   -0.01],0.0,0.006767676879811769,0.024570175427412917
