scores,max_score,average_scores,std
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[-0.01  0.  ],0.0,0.0,0.0
[-0.01  0.1 ],0.10000000149011612,0.014285714498588018,0.03499271113262028
[-0.01  0.  ],0.0,0.012500000186264515,0.03307189188111697
[ 0.   -0.01],0.0,0.011111111276679568,0.031426968521033764
[ 0.   -0.01],0.0,0.010000000149011612,0.03000000044703483
[ 0.   -0.01],0.0,0.009090909226374193,0.028747979157181712
[ 0.   -0.01],0.0,0.008333333457509676,0.027638540331474663
[ 0.   -0.01],0.0,0.007692307806932009,0.026646935898129928
[ 0.   -0.01],0.0,0.007142857249294009,0.02575393806564922
[ 0.   -0.01],0.0,0.0066666667660077415,0.02494438295019321
[0.   0.09],0.09000000171363354,0.011875000200234354,0.031467990214649286
[-0.01  0.  ],0.0,0.011176470776691157,0.03065603397384996
[ 0.1  -0.01],0.10000000149011612,0.016111111371881433,0.036076907457873536
[-0.01  0.  ],0.0,0.01526315814178241,0.035298490329832566
[-0.01  0.  ],0.0,0.014500000234693288,0.03456515642115509
[0.   0.09],0.09000000171363354,0.01809523840035711,0.03736806027617041
[ 0.   -0.01],0.0,0.01727272756397724,0.03670296286527101
[ 0.   -0.01],0.0,0.01652173940902171,0.03606861825903223
[ 0.   -0.01],0.0,0.01583333360031247,0.03546320531162294
[-0.01  0.  ],0.0,0.015200000256299973,0.03488495436039242
[ 0.   -0.01],0.0,0.014615384861826897,0.03433217535054356
[ 0.   -0.01],0.0,0.014074074311388863,0.03380327229636928
[ 0.   -0.01],0.0,0.013571428800267833,0.03329674918811457
[ 0.   -0.01],0.0,0.01310344849681032,0.03281121060531634
[ 0.   -0.01],0.0,0.012666666880249977,0.032345359129916346
[ 0.1  -0.01],0.10000000149011612,0.015483871222503724,0.03536343254480963
[ 0.   -0.01],0.0,0.015000000246800482,0.03491060067965088
[ 0.   -0.01],0.0,0.014545454784776226,0.034473610064674615
[-0.01  0.  ],0.0,0.014117647291106336,0.03405166088190421
[-0.01  0.  ],0.0,0.01371428593993187,0.03364399507086785
[ 0.   -0.01],0.0,0.013333333552711539,0.03324989611528244
[ 0.   -0.01],0.0,0.012972973186422038,0.03286868808136796
[-0.01  0.  ],0.0,0.012631579155200407,0.03249973417572349
[ 0.   -0.01],0.0,0.012307692510195268,0.032142435010946005
[ 0.   -0.01],0.0,0.012000000197440385,0.03179622671066293
[-0.01  0.  ],0.0,0.011707317265795499,0.03146057894546452
[-0.01  0.  ],0.0,0.011428571616609892,0.031134992962576363
[ 0.   -0.01],0.0,0.011162790881339894,0.030818999651670318
[ 0.   -0.01],0.0,0.010909091088582169,0.030512157674628986
[ 0.   -0.01],0.0,0.010666666842169232,0.03021405167669702
[-0.01  0.  ],0.0,0.010434782780382944,0.029924290589093717
[-0.01  0.  ],0.0,0.010212766125481179,0.029642506027981883
[ 0.   -0.01],0.0,0.010000000164533654,0.029368350791081712
[ 0.   -0.01],0.0,0.009795918528522764,0.0291014974507493
[-0.01  0.  ],0.0,0.009600000157952308,0.02884163704068947
[ 0.   -0.01],0.0,0.009411764860737557,0.028588477832413136
[ 0.   -0.01],0.0,0.00923076938264645,0.028341744196912082
[ 0.   -0.01],0.0,0.009056603922596518,0.028101175546687916
[ 0.   -0.01],0.0,0.008888889035141026,0.027866525353146817
[ 0.   -0.01],0.0,0.008727272870865735,0.02763756023439431
[ 0.   -0.01],0.0,0.008571428712457418,0.027414059108585256
[ 0.1  -0.01],0.10000000149011612,0.010175438761188272,0.02970564576027373
[ 0.   -0.01],0.0,0.01000000016185744,0.02947822154055266
[ 0.   -0.01],0.0,0.009830508633690366,0.02925582853971715
[ 0.   -0.01],0.0,0.00966666682312886,0.029038289366753386
[-0.01  0.  ],0.0,0.009508196875208715,0.02882543490127879
[ 0.   -0.01],0.0,0.009354838861092445,0.028617103836056784
[ 0.   -0.01],0.0,0.009206349355360818,0.02841314224658795
[ 0.1  -0.01],0.10000000149011612,0.01062500016996637,0.030355961594231665
[ 0.1  -0.01],0.10000000149011612,0.012000000190276366,0.03206723756019201
[ 0.   -0.01],0.0,0.011818182005575209,0.03185711953502177
[ 0.   -0.01],0.0,0.011641791229372594,0.03165094257212184
[ 0.   -0.01],0.0,0.011470588417175938,0.03144859093864479
[-0.01  0.  ],0.0,0.01130434800533281,0.031249953233837724
[-0.01  0.  ],0.0,0.01114285731954234,0.031054922213484465
[-0.01  0.  ],0.0,0.010985915667154419,0.030863394619642822
[-0.01  0.  ],0.0,0.010833333505110608,0.03067527101597992
[-0.01  0.  ],0.0,0.010684931676273476,0.030490455628894412
[ 0.   -0.01],0.0,0.010540540707675187,0.030308856194521977
[-0.01  0.  ],0.0,0.010400000164906184,0.030130383811648506
[ 0.   -0.01],0.0,0.010263158057473208,0.029954952800497817
[-0.01  0.  ],0.0,0.010129870290493037,0.029782480567316055
[ 0.   -0.01],0.0,0.010000000158563638,0.029612887474640928
[-0.01  0.  ],0.0,0.009873417878075491,0.02944609671711778
[-0.01  0.  ],0.0,0.009750000154599547,0.029282034202705275
[ 0.   -0.01],0.0,0.00962962978232054,0.029120628439100172
[-0.01  0.  ],0.0,0.009512195272780046,0.028961810425200886
[ 0.   -0.01],0.0,0.009397590510457396,0.028805513547424614
[ 0.   -0.01],0.0,0.009285714432951949,0.028651673480689428
[-0.01  0.  ],0.0,0.009176470733740751,0.028500228093872676
[ 0.   -0.01],0.0,0.009069767585673998,0.02835111735955802
[ 0.   -0.01],0.0,0.008965517383539814,0.028204283267886564
[ 0.   -0.01],0.0,0.008863636504181406,0.02805966974433089
[ 0.   -0.01],0.0,0.00876404508278611,0.02791722257121572
[ 0.   -0.01],0.0,0.008666666804088487,0.027776889312814107
[ 0.   -0.01],0.0,0.008571428707340262,0.02763861924385357
[-0.01  0.  ],0.0,0.008478261003999607,0.027502363281272695
[-0.01  0.  ],0.0,0.008387096907182406,0.027368073919074636
[ 0.   -0.01],0.0,0.008297872471999614,0.027235705166130407
[-0.01  0.  ],0.0,0.008210526445978566,0.027105212486790622
[ 0.   -0.01],0.0,0.008125000128832957,0.02697655274417104
