scores,max_score,average_scores,std
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[ 0.   -0.01],0.0,0.0,0.0
[0.   0.09],0.09000000171363354,0.022500000428408384,0.03897114391232483
[ 0.   -0.01],0.0,0.018000000342726707,0.036000000685453414
[-0.01  0.  ],0.0,0.015000000285605589,0.033541020301130355
[ 0.   -0.01],0.0,0.012857143101947648,0.031493440149716265
[-0.01  0.  ],0.0,0.011250000214204192,0.029764702816207664
[ 0.   -0.01],0.0,0.010000000190403726,0.028284271786004966
[ 0.   -0.01],0.0,0.009000000171363353,0.027000000514090065
[ 0.   -0.01],0.0,0.008181818337603048,0.025873181348558105
[ 0.   -0.01],0.0,0.0075000001428027945,0.024874686401288787
[ 0.   -0.01],0.0,0.006923077054894888,0.02398224240758451
[ 0.   -0.01],0.0,0.006428571550973824,0.023178544355025185
[ 0.   -0.01],0.0,0.006000000114242236,0.02244994474809895
[ 0.   -0.01],0.0,0.005625000107102096,0.021785531737221354
[-0.01  0.  ],0.0,0.005294117747860796,0.021176470991443184
[-0.01  0.  ],0.0,0.005000000095201863,0.020615528520615642
[-0.01  0.  ],0.0,0.004736842195454396,0.020096719426898266
[-0.01  0.  ],0.0,0.004500000085681677,0.019615045619410805
[ 0.   -0.01],0.0,0.004285714367315883,0.01916629731493163
[ 0.   -0.01],0.0,0.004090909168801524,0.018746900927221866
[ 0.   -0.01],0.0,0.003913043552766676,0.01835380114877228
[0.   0.09],0.09000000171363354,0.0075000001428027945,0.024874686401288787
[-0.01  0.  ],0.0,0.007200000137090683,0.024416388404148087
[ 0.   -0.01],0.0,0.006923077054894888,0.02398224240758451
[ 0.   -0.01],0.0,0.006666666793602484,0.023570226488337474
[ 0.   -0.01],0.0,0.006428571550973824,0.023178544355025185
[ 0.   -0.01],0.0,0.006206896669905761,0.02280559459117384
[ 0.   -0.01],0.0,0.006000000114242236,0.02244994474809895
[-0.01  0.  ],0.0,0.005806451723460228,0.02211030943801277
[-0.01  0.1 ],0.10000000149011612,0.008750000153668225,0.027243118872522825
[ 0.   -0.01],0.0,0.008484848633860096,0.026869067072101096
[-0.01  0.  ],0.0,0.008235294262275976,0.026509775378482297
[-0.01  0.  ],0.0,0.008000000140496663,0.026164316395892638
[ 0.   -0.01],0.0,0.007777777914371755,0.025831840312049912
[ 0.   -0.01],0.0,0.007567567700469816,0.02551156702232905
[-0.01  0.  ],0.0,0.0073684211820364,0.02520277916365144
[ 0.   -0.01],0.0,0.007179487305573928,0.024904815945590762
[-0.01  0.1 ],0.10000000149011612,0.009500000160187483,0.028543826430251096
[-0.01  0.  ],0.0,0.0092682928392073,0.028231641941255353
[-0.01  0.  ],0.0,0.009047619200178556,0.027929292464958577
[ 0.   -0.01],0.0,0.008837209451337194,0.027636284526645776
[ 0.   -0.01],0.0,0.00863636378198862,0.02735215751855009
[ 0.   -0.01],0.0,0.008444444586833319,0.02707648106787311
[-0.01  0.  ],0.0,0.008260869704510855,0.02680885263924591
[-0.01  0.  ],0.0,0.008085106519308495,0.026548895350587094
[0.   0.09],0.09000000171363354,0.009791666835856935,0.028758302434918826
[ 0.   -0.01],0.0,0.009591836900431283,0.0284969880615082
[-0.01  0.  ],0.0,0.009400000162422657,0.0282425216185564
[ 0.   -0.01],0.0,0.009215686433747703,0.027994617417760357
[ 0.   -0.01],0.0,0.00903846169463717,0.027753005537698265
[ 0.   -0.01],0.0,0.008867924681530808,0.027517430787635185
[ 0.   -0.01],0.0,0.008703703854095053,0.02728765174515414
[ 0.   -0.01],0.0,0.008545454693111507,0.027063439862746532
[ 0.   -0.01],0.0,0.008392857287877373,0.02684457863861458
[-0.01  0.  ],0.0,0.008245614177563735,0.026630862847123047
[ 0.   -0.01],0.0,0.008103448415881601,0.026422097824559728
[ 0.   -0.01],0.0,0.007966101832561573,0.026218098806110327
[ 0.   -0.01],0.0,0.007833333468685548,0.02601869031020804
[-0.01  0.  ],0.0,0.007704918165920211,0.025823705566674935
[ 0.   -0.01],0.0,0.007580645292276336,0.02563298598532357
[ 0.   -0.01],0.0,0.007460317589224331,0.025446380661930213
[ 0.1  -0.01],0.10000000149011612,0.008906250150175765,0.0277329449696767
[-0.01  0.  ],0.0,0.008769230917096138,0.027540610605041402
[ 0.   -0.01],0.0,0.00863636378198862,0.02735215751855009
[ 0.   -0.01],0.0,0.008507462830018641,0.027167459663089217
[ 0.   -0.01],0.0,0.008382353082518368,0.026986396486397564
[-0.01  0.  ],0.0,0.008260869704510855,0.026808852639245904
[-0.01  0.  ],0.0,0.0081428572801607,0.02663471770117157
[-0.01  0.  ],0.0,0.008028169149454211,0.026463885922666717
[-0.01  0.  ],0.0,0.007916666800156236,0.026296255982779314
[-0.01  0.  ],0.0,0.0078082193097431364,0.026131730761146183
[-0.01  0.1 ],0.10000000149011612,0.0090540542040725,0.02805250523576982
[-0.01  0.  ],0.0,0.008933333481351535,0.0278842054661242
[ 0.   -0.01],0.0,0.008815789619754804,0.0277188476098921
[-0.01  0.  ],0.0,0.008701298845472273,0.027556348832276995
[ 0.   -0.01],0.0,0.008589743732068783,0.027396629429972202
[-0.01  0.  ],0.0,0.008481012798751457,0.02723961268710614
[-0.01  0.  ],0.0,0.008375000138767064,0.027085224738662213
[ 0.   -0.01],0.0,0.008271605075325495,0.02693339444097414
[-0.01  0.  ],0.0,0.008170731842699574,0.02678405324891533
[-0.01  0.1 ],0.10000000149011612,0.009277108585439533,0.028444964550649
[ 0.   -0.01],0.0,0.009166666816565253,0.028293039033542938
[-0.01  0.  ],0.0,0.009058823677546837,0.028143478623925144
[ 0.   -0.01],0.0,0.008953488518505595,0.02799622402767984
[ 0.   -0.01],0.0,0.008850574857373348,0.027851217943994755
[ 0.   -0.01],0.0,0.008750000143085013,0.027708404984098427
[ 0.   -0.01],0.0,0.008651685534735745,0.027567731593702204
[ 0.   -0.01],0.0,0.008555555695460902,0.027429145978977713
[ 0.   -0.01],0.0,0.008461538599906386,0.027292598035905773
[-0.01  0.  ],0.0,0.00836956535425523,0.027158039282838935
[-0.01  0.  ],0.0,0.008279570027865389,0.027025422796125746
[ 0.   -0.01],0.0,0.008191489495654056,0.026894703148651045
[-0.01  0.  ],0.0,0.008105263290436645,0.026765836351152598
[ 0.   -0.01],0.0,0.008020833464494595,0.02663877979618077
