scores,average_scores
0.0,0.5151515151515151
1.0,0.52
0.0,0.52
0.0,0.52
-5.0,0.48
4.0,0.53
-1.0,0.53
-2.0,0.5
3.0,0.53
0.0,0.55
3.0,0.57
0.0,0.55
2.0,0.56
-2.0,0.54
3.0,0.58
3.0,0.61
0.0,0.59
2.0,0.6
3.0,0.63
2.0,0.66
2.0,0.68
0.0,0.68
0.0,0.68
3.0,0.72
1.0,0.74
3.0,0.78
5.0,0.83
4.0,0.87
2.0,0.89
2.0,0.91
2.0,0.92
2.0,0.93
3.0,0.97
5.0,1.04
1.0,1.03
1.0,1.04
5.0,1.09
5.0,1.13
2.0,1.14
1.0,1.14
10.0,1.24
0.0,1.23
4.0,1.26
7.0,1.34
4.0,1.38
0.0,1.4
4.0,1.42
3.0,1.45
1.0,1.44
5.0,1.49
4.0,1.53
6.0,1.58
5.0,1.63
5.0,1.68
6.0,1.75
3.0,1.73
2.0,1.74
3.0,1.77
4.0,1.81
6.0,1.87
3.0,1.89
3.0,1.93
4.0,1.98
6.0,2.06
4.0,2.1
6.0,2.14
8.0,2.23
0.0,2.23
3.0,2.25
7.0,2.34
2.0,2.37
-2.0,2.33
5.0,2.36
5.0,2.43
4.0,2.47
0.0,2.45
8.0,2.5
4.0,2.53
3.0,2.54
2.0,2.54
2.0,2.56
6.0,2.6
4.0,2.64
9.0,2.73
2.0,2.75
2.0,2.77
5.0,2.82
0.0,2.81
8.0,2.85
6.0,2.9
4.0,2.95
7.0,2.97
5.0,2.98
8.0,3.0
5.0,3.02
10.0,3.09
6.0,3.13
1.0,3.14
10.0,3.22
3.0,3.25
3.0,3.28
5.0,3.32
6.0,3.38
8.0,3.46
8.0,3.59
4.0,3.59
5.0,3.65
0.0,3.67
5.0,3.69
7.0,3.76
5.0,3.78
6.0,3.84
10.0,3.92
5.0,3.99
7.0,4.03
7.0,4.07
5.0,4.12
5.0,4.15
6.0,4.18
14.0,4.3
9.0,4.37
6.0,4.43
2.0,4.45
4.0,4.46
10.0,4.55
9.0,4.61
10.0,4.66
7.0,4.69
6.0,4.73
7.0,4.78
10.0,4.86
8.0,4.92
9.0,4.98
2.0,4.95
6.0,5.0
10.0,5.09
8.0,5.12
5.0,5.12
7.0,5.17
5.0,5.21
11.0,5.22
11.0,5.33
9.0,5.38
3.0,5.34
10.0,5.4
1.0,5.41
11.0,5.48
5.0,5.5
10.0,5.59
10.0,5.64
10.0,5.7
7.0,5.71
6.0,5.72
8.0,5.75
10.0,5.79
8.0,5.84
10.0,5.92
4.0,5.93
11.0,6.0
8.0,6.02
7.0,6.06
5.0,6.08
13.0,6.17
8.0,6.19
11.0,6.26
5.0,6.25
6.0,6.23
15.0,6.38
14.0,6.49
11.0,6.53
3.0,6.54
13.0,6.69
9.0,6.73
8.0,6.76
6.0,6.78
11.0,6.89
15.0,6.96
2.0,6.94
13.0,7.04
